# L TT EE BB TE PP
9.20000000e+01 3.30666446e-10 8.79905095e-14 3.67098964e-16 -2.41129439e-12 1.06882257e-07
9.30000000e+01 3.34636089e-10 9.00788731e-14 3.75177960e-16 -2.49745159e-12 1.06228797e-07
9.40000000e+01 3.38634528e-10 9.21615677e-14 3.83350901e-16 -2.58418806e-12 1.05578465e-07
9.50000000e+01 3.42663805e-10 9.42365350e-14 3.91618246e-16 -2.67143464e-12 1.04931270e-07
9.60000000e+01 3.46722961e-10 9.63019173e-14 3.99980463e-16 -2.75913218e-12 1.04287304e-07
9.70000000e+01 3.50812038e-10 9.83557569e-14 4.08438021e-16 -2.84722152e-12 1.03646612e-07
9.80000000e+01 3.54932077e-10 1.00395997e-13 4.16991398e-16 -2.93564351e-12 1.03009241e-07
9.90000000e+01 3.59080121e-10 1.02420780e-13 4.25641077e-16 -3.02432902e-12 1.02375248e-07
1.00000000e+02 3.63258212e-10 1.04428549e-13 4.34387546e-16 -3.11320890e-12 1.01744703e-07
1.01000000e+02 3.67465392e-10 1.06417350e-13 4.43231296e-16 -3.20221404e-12 1.01117653e-07
1.02000000e+02 3.71701704e-10 1.08384224e-13 4.52172828e-16 -3.29130529e-12 1.00494133e-07
1.03000000e+02 3.75965190e-10 1.10329218e-13 4.61212646e-16 -3.38037355e-12 9.98742613e-08
1.04000000e+02 3.80255894e-10 1.12248375e-13 4.70351262e-16 -3.46936971e-12 9.92580505e-08
1.05000000e+02 3.84572859e-10 1.14140742e-13 4.79589195e-16 -3.55821467e-12 9.86455720e-08
1.06000000e+02 3.88915127e-10 1.16004363e-13 4.88926971e-16 -3.64681932e-12 9.80368859e-08
1.07000000e+02 3.93281743e-10 1.17838284e-13 4.98365125e-16 -3.73512459e-12 9.74320524e-08
1.08000000e+02 3.97670749e-10 1.19639552e-13 5.07904199e-16 -3.82305139e-12 9.68311436e-08
1.09000000e+02 4.02083191e-10 1.21407213e-13 5.17544747e-16 -3.91051066e-12 9.62342426e-08
1.10000000e+02 4.06517110e-10 1.23138314e-13 5.27287333e-16 -3.99744333e-12 9.56413653e-08
1.11000000e+02 4.10971529e-10 1.24831891e-13 5.37132530e-16 -4.08377998e-12 9.50526062e-08
1.12000000e+02 4.15446374e-10 1.26486932e-13 5.47080924e-16 -4.16941976e-12 9.44679459e-08
1.13000000e+02 4.19940548e-10 1.28100413e-13 5.57133116e-16 -4.25431146e-12 9.38873872e-08
1.14000000e+02 4.24452956e-10 1.29670312e-13 5.67289717e-16 -4.33836388e-12 9.33109329e-08
1.15000000e+02 4.28982500e-10 1.31196607e-13 5.77551353e-16 -4.42150584e-12 9.27385750e-08
1.16000000e+02 4.33529085e-10 1.32677275e-13 5.87918667e-16 -4.50366614e-12 9.21703275e-08
1.17000000e+02 4.38091615e-10 1.34109294e-13 5.98392315e-16 -4.58476363e-12 9.16061610e-08
1.18000000e+02 4.42667992e-10 1.35492644e-13 6.08972971e-16 -4.66471714e-12 9.10460580e-08
1.19000000e+02 4.47258122e-10 1.36825303e-13 6.19661323e-16 -4.74346552e-12 9.04900648e-08
1.20000000e+02 4.51860909e-10 1.38106249e-13 6.30458078e-16 -4.82092765e-12 8.99381427e-08
1.21000000e+02 4.56475255e-10 1.39333464e-13 6.41363960e-16 -4.89702238e-12 8.93902957e-08
1.22000000e+02 4.61099066e-10 1.40505927e-13 6.52379711e-16 -4.97168861e-12 8.88465490e-08
1.23000000e+02 4.65732244e-10 1.41622617e-13 6.63506088e-16 -5.04484524e-12 8.83068649e-08
1.24000000e+02 4.70373695e-10 1.42681515e-13 6.74743868e-16 -5.11641117e-12 8.77712790e-08
1.25000000e+02 4.75021322e-10 1.43682603e-13 6.86093843e-16 -5.18632532e-12 8.72397648e-08
1.26000000e+02 4.79675029e-10 1.44623861e-13 6.97556825e-16 -5.25451662e-12 8.67123167e-08
1.27000000e+02 4.84332719e-10 1.45505271e-13 7.09133639e-16 -5.32090403e-12 8.61889702e-08
1.28000000e+02 4.88993297e-10 1.46324814e-13 7.20825128e-16 -5.38542648e-12 8.56696995e-08
1.29000000e+02 4.93656667e-10 1.47082472e-13 7.32632147e-16 -5.44801296e-12 8.51545095e-08
1.30000000e+02 4.98320731e-10 1.47776227e-13 7.44555568e-16 -5.50858244e-12 8.46434055e-08
1.31000000e+02 5.02983427e-10 1.48406071e-13 7.56596273e-16 -5.56707431e-12 8.41363775e-08
1.32000000e+02 5.07645823e-10 1.48972032e-13 7.68755157e-16 -5.62341947e-12 8.36334047e-08
1.33000000e+02 5.12305017e-10 1.49472149e-13 7.81033124e-16 -5.67755927e-12 8.31344612e-08
1.34000000e+02 5.16961111e-10 1.49908457e-13 7.93431087e-16 -5.72941503e-12 8.26395310e-08
1.35000000e+02 5.21612204e-10 1.50277998e-13 8.05949963e-16 -5.77894811e-12 8.21485496e-08
1.36000000e+02 5.26258396e-10 1.50581807e-13 8.18590676e-16 -5.82606986e-12 8.16615204e-08
1.37000000e+02 5.30897789e-10 1.50818924e-13 8.31354151e-16 -5.87072165e-12 8.11783988e-08
1.38000000e+02 5.35529481e-10 1.50990388e-13 8.44241313e-16 -5.91285488e-12 8.06991500e-08
1.39000000e+02 5.40151574e-10 1.51095236e-13 8.57253085e-16 -5.95241093e-12 8.02237772e-08
1.40000000e+02 5.44765167e-10 1.51133508e-13 8.70390385e-16 -5.98933121e-12 7.97522267e-08
1.41000000e+02 5.49367360e-10 1.51107243e-13 8.83654125e-16 -6.02356715e-12 7.92844736e-08
1.42000000e+02 5.53957254e-10 1.51014480e-13 8.97045204e-16 -6.05505018e-12 7.88204928e-08
1.43000000e+02 5.58534950e-10 1.50856257e-13 9.10564511e-16 -6.08374173e-12 7.83602595e-08
1.44000000e+02 5.63097547e-10 1.50633613e-13 9.24212920e-16 -6.10958326e-12 7.79037397e-08
1.45000000e+02 5.67645147e-10 1.50345587e-13 9.37991284e-16 -6.13250623e-12 7.74509085e-08
1.46000000e+02 5.72173851e-10 1.49994219e-13 9.51900438e-16 -6.15248213e-12 7.70017596e-08
1.47000000e+02 5.76682759e-10 1.49580546e-13 9.65941191e-16 -6.16943243e-12 7.65562319e-08
1.48000000e+02 5.81169973e-10 1.49104608e-13 9.80114326e-16 -6.18331864e-12 7.61143370e-08
1.49000000e+02 5.85633594e-10 1.48567444e-13 9.94420596e-16 -6.19408225e-12 7.56760055e-08
1.50000000e+02 5.90071723e-10 1.47970091e-13 1.00886072e-15 -6.20166478e-12 7.52412488e-08
1.51000000e+02 5.94481436e-10 1.47313582e-13 1.02343539e-15 -6.20602750e-12 7.48100250e-08
1.52000000e+02 5.98863692e-10 1.46598929e-13 1.03814526e-15 -6.20713064e-12 7.43822941e-08
1.53000000e+02 6.03216426e-10 1.45828135e-13 1.05299092e-15 -6.20493418e-12 7.39580690e-08
1.54000000e+02 6.07539570e-10 1.45003205e-13 1.06797296e-15 -6.19941811e-12 7.35372840e-08
1.55000000e+02 6.11832060e-10 1.44124142e-13 1.08309188e-15 -6.19053243e-12 7.31199518e-08
1.56000000e+02 6.16094829e-10 1.43193952e-13 1.09834816e-15 -6.17825715e-12 7.27060332e-08
1.57000000e+02 6.20324813e-10 1.42212637e-13 1.11374224e-15 -6.16255227e-12 7.22955062e-08
1.58000000e+02 6.24522946e-10 1.41184200e-13 1.12927448e-15 -6.14338783e-12 7.18883320e-08
1.59000000e+02 6.28687164e-10 1.40108644e-13 1.14494521e-15 -6.12073384e-12 7.14845312e-08
1.60000000e+02 6.32816404e-10 1.38988972e-13 1.16075469e-15 -6.09457034e-12 7.10840312e-08
1.61000000e+02 6.36907601e-10 1.37827186e-13 1.17670314e-15 -6.06485738e-12 7.06868274e-08
1.62000000e+02 6.40959692e-10 1.36625286e-13 1.19279072e-15 -6.03158498e-12 7.02929146e-08
1.63000000e+02 6.44971615e-10 1.35387275e-13 1.20901752e-15 -5.99470321e-12 6.99022381e-08
1.64000000e+02 6.48940307e-10 1.34113153e-13 1.22538358e-15 -5.95421211e-12 6.95147930e-08
1.65000000e+02 6.52865707e-10 1.32805920e-13 1.24188889e-15 -5.91007175e-12 6.91305576e-08
1.66000000e+02 6.56745754e-10 1.31468574e-13 1.25853336e-15 -5.86227219e-12 6.87495103e-08
1.67000000e+02 6.60579385e-10 1.30104116e-13 1.27531687e-15 -5.81079350e-12 6.83716218e-08
1.68000000e+02 6.64365542e-10 1.28715543e-13 1.29223921e-15 -5.75564574e-12 6.79968705e-08
1.69000000e+02 6.68103163e-10 1.27305853e-13 1.30930014e-15 -5.69680898e-12 6.76252511e-08
1.70000000e+02 6.71791190e-10 1.25877043e-13 1.32649933e-15 -5.63427330e-12 6.72567103e-08
1.71000000e+02 6.75427563e-10 1.24433109e-13 1.34383641e-15 -5.56802878e-12 6.68912429e-08
1.72000000e+02 6.79013222e-10 1.22977046e-13 1.36131095e-15 -5.49807550e-12 6.65288353e-08
1.73000000e+02 6.82545111e-10 1.21511849e-13 1.37892248e-15 -5.42440353e-12 6.61694428e-08
1.74000000e+02 6.86022170e-10 1.20040512e-13 1.39667044e-15 -5.34701295e-12 6.58130599e-08
1.75000000e+02 6.89444342e-10 1.18568028e-13 1.41455424e-15 -5.26592385e-12 6.54596732e-08
1.76000000e+02 6.92809587e-10 1.17096390e-13 1.43257323e-15 -5.18112641e-12 6.51092447e-08
1.77000000e+02 6.96116942e-10 1.15630598e-13 1.45072671e-15 -5.09262130e-12 6.47617329e-08
1.78000000e+02 6.99364458e-10 1.14173650e-13 1.46901393e-15 -5.00041926e-12 6.44171405e-08
1.79000000e+02 7.02552189e-10 1.12728546e-13 1.48743409e-15 -4.90452108e-12 6.40754247e-08
1.80000000e+02 7.05679190e-10 1.11300283e-13 1.50598635e-15 -4.80494750e-12 6.37365429e-08
1.81000000e+02 7.08743514e-10 1.09892857e-13 1.52466980e-15 -4.70171929e-12 6.34004976e-08
1.82000000e+02 7.11745216e-10 1.08510263e-13 1.54348352e-15 -4.59484721e-12 6.30672313e-08
1.83000000e+02 7.14683350e-10 1.07155497e-13 1.56242653e-15 -4.48435201e-12 6.27367315e-08
1.84000000e+02 7.17555970e-10 1.05833552e-13 1.58149781e-15 -4.37026443e-12 6.24089780e-08
1.85000000e+02 7.20363132e-10 1.04549419e-13 1.60069630e-15 -4.25257524e-12 6.20839286e-08
1.86000000e+02 7.23102890e-10 1.03306091e-13 1.62002091e-15 -4.13133516e-12 6.17615486e-08
1.87000000e+02 7.25775299e-10 1.02107657e-13 1.63947051e-15 -4.00655494e-12 6.14418326e-08
1.88000000e+02 7.28379415e-10 1.00959505e-13 1.65904394e-15 -3.87827531e-12 6.11247241e-08
1.89000000e+02 7.30913291e-10 9.98658247e-14 1.67873999e-15 -3.74651699e-12 6.08102247e-08
1.90000000e+02 7.33376984e-10 9.88312010e-14 1.69855745e-15 -3.61132071e-12 6.04982926e-08
1.91000000e+02 7.35769547e-10 9.78599197e-14 1.71849506e-15 -3.47272719e-12 6.01888864e-08
1.92000000e+02 7.38089037e-10 9.69566646e-14 1.73855152e-15 -3.33074712e-12 5.98820143e-08
1.93000000e+02 7.40334509e-10 9.61259186e-14 1.75872553e-15 -3.18542121e-12 5.95775994e-08
1.94000000e+02 7.42507017e-10 9.53724630e-14 1.77901573e-15 -3.03681015e-12 5.92756571e-08
1.95000000e+02 7.44604615e-10 9.47010781e-14 1.79942078e-15 -2.88494463e-12 5.89761527e-08
1.96000000e+02 7.46627360e-10 9.41165426e-14 1.81993926e-15 -2.72988532e-12 5.86790245e-08
